,Sindex_Entry,Freq,Category
410,Gold Plant,1,Organization
412,Colonels Griffiths,1,Organization
413,Governor-General Sir Peter Cosgrove,1,Organization
414,Clane Gessel,1,Organization
417,Sydney's Royal Botanic Gardens,1,Organization
418,Matilda/Wiluna Gold Operation,1,Organization
419,Geelong West,1,Organization
420,Glennifer Brae,1,Organization
421,Fraser Gehrig,1,Organization
422,GOING THROUGH,1,Organization
423,Gucci,1,Organization
424,Jobit George,1,Organization
426,DEG 38,1,Organization
428,TPG,1,Organization
429,K: 13 M: 0 H: 23 G: 0.0,1,Organization
431,DEG 15,1,Organization
433,Got Foetus,1,Organization
434,George R.R. Martin,1,Organization
438,NEYMAR READING,1,Organization
439,Conor Glass,1,Organization
440,Wiluna Goldfield,1,Organization
441,Great War,1,Organization
442,K: 16 M: 4 H: 12 G: 0.0,1,Organization
443,CASG,1,Organization
444,German Cars Inc,1,Organization
445,Global Covenant of Mayors,1,Organization
446,Steve Gersbach,1,Organization
447,Saturday's Gabba,1,Organization
448,Lurssen of Germany,1,Organization
449,Getty Images19,1,Organization
450,galleryNational Geo,1,Organization
451,Graham Henry,1,Organization
452,Diario Goal,1,Organization
453,Great Sadness,1,Organization
454,Great Levante,1,Organization
456,K: 12 M: 5 H: 13 G: 0.0,1,Organization
459,Graeme Connors,1,Organization
460,Gastons,1,Organization
461,JG Thirlwell,1,Organization
462,Getty Images5,1,Organization
463,K: 18 M: 6 H: 12 G: 1,1,Organization
464,Wiluna Gold Deposit Summary,1,Organization
471,American Ghost,1,Organization
472,John Galvin,1,Organization
473,J. Green,1,Organization
477,G20,1,Organization
478,WAR ON TRANSGENDERS,1,Organization
479,Glenelg,1,Organization
480,Grace Forrest,1,Organization
481,New Guard,1,Organization
482,KILLINGWORTH,1,Organization
483,Z.Guthrie,1,Organization
484,ANOTHER THING,1,Organization
485,Grand Prize,1,Organization
486,Aegis Greenfields,1,Organization
487,GALLERY ABOVE,1,Organization
488,Tewantin-Noosa Golf Club,1,Organization
490,Lieutenant-General Campbell,1,Organization
491,MGM,1,Organization
492,K: 9 M: 8 H: 1 G: 4.2,1,Organization
493,AUGUST 22,1,Organization
494,Greek,1,Organization
495,K: 11 M: 4 H: 4 G: 0.0,1,Organization
496,Gleniffer Brae,1,Organization
498,Henry Gunn,1,Organization
499,Large Pit Growing,1,Organization
500,German Federal Cartel Office,1,Organization
502,Rescue Gear Ship,1,Organization
503,Dave Gorr,1,Organization
504,Windsor Gardens,1,Organization
507,G.Rohan,1,Organization
508,Getty Images17,1,Organization
509,Jack Gosiewski 20.David Tyrrell 22,1,Organization
510,George Takacs,1,Organization
514,Lord Mayor Gordon Bradbery,1,Organization
517,Gold Cup of Good,1,Organization
519,WHITE HOUSE TOUGH,1,Organization
520,Michael Grade,1,Organization
522,VW Group,1,Organization
524,Gazal's Darling Point,1,Organization
526,General Peter Cosgrove,1,Organization
529,Australian Government,1,Organization
530,H. G. Wells,1,Organization
